Texto: 
unremarkable rectal exam
n/a
single-contrast barium enema images demonstrate complete tubular duplication of the colon.
colonic duplication
colonic duplication
patient with history of "colon deformity;" gi medicine requesting imaging prior to colonoscopy.
click here to see other barium enema exams: http://rad.usuhs.edu/medpix/medpix.html?mode=image_finder&srchstr=barium%20enema&srch_type=all&action=search#top

pubmed colonic duplication: http://www.ncbi.nlm.nih.gov/sites/entrez?db=pubmed&cmd=search&term=colon%20duplication&itool=querysuggestion


Keywords by value: 
- duplication: 0.24657360198636036 (81)
- &: 0.23087599170318707 (872)
- colonic: 0.1791013592541087 (145)
- enema: 0.122370952721332 (96)
- srchstr=barium: 0.11301946697392946 (1)
- 20enema: 0.11301946697392946 (1)
- term=colon: 0.11301946697392946 (1)
- 20duplication: 0.11301946697392946 (1)
- itool=querysuggestion: 0.11301946697392946 (1)
- barium: 0.10622280998729722 (204)
- single-contrast: 0.09893469404228702 (4)
- requesting: 0.09238564758374869 (5)
- //www.ncbi.nlm.nih.gov/sites/entrez: 0.09238564758374869 (5)
- cmd=search: 0.09238564758374869 (6)
- action=search: 0.08635996002931617 (10)
- colon: 0.08604956179031639 (798)
- ?: 0.08550973078524375 (590)
- pubmed: 0.08484992111064459 (70)
- http: 0.08296893840975066 (550)
- //rad.usuhs.edu/medpix/medpix.html: 0.0801355008526277 (14)
- mode=image_finder: 0.0801355008526277 (15)
- srch_type=all: 0.0791853986455287 (19)
- db=pubmed: 0.0791853986455287 (20)
- click: 0.07339071757189977 (44)
- colonoscopy: 0.06393432086509492 (76)
- rectal: 0.06211828859505611 (126)
- exams: 0.061878645864131075 (61)
- top: 0.05873605024832357 (1345)
- :: 0.05796281107644436 (11095)
- here: 0.057164225606114186 (4746)
- medicine: 0.051965954989342845 (236)
- %: 0.05111079572682071 (2175)
- tubular: 0.051015852782243847 (175)
- gi: 0.04921518822494774 (13081)
- deformity: 0.04717589726815687 (255)
- #: 0.04297034126847293 (494)
- n/a: 0.03968213650460367 (371)
- complete: 0.03855610171776993 (705)
- unremarkable: 0.03627008229079565 (465)
- see: 0.03269509245165113 (2684)
- prior: 0.028129650925671327 (948)
- ``: 0.026924808174766883 (0)
- '': 0.026407044897208243 (0)
- ;: 0.02596693831349479 (2912)
- imaging: 0.025667613134046186 (1530)
- other: 0.025251776265416005 (2604)
- demonstrate: 0.025210924888885135 (3313)
- exam: 0.024067101794224846 (2159)
- images: 0.021016203742940436 (1966)
- history: 0.015130955611629273 (2881)
- patient: 0.010981947832261384 (8535)
- to: 0.01095046431905093 (40381)
- of: 0.0029872769435381648 (41955)
- the: 0.0017724267269695615 (67588)
- with: 0.001500053539613971 (23954)
- .: 0.0009102445153165711 (82185)
