Texto: 
non-contributory
none requred
csf space that surrounds the internal cerebral veins, extends forward from the quadrigeminal plate cistern toward the foramen of monro. this fluid space lies above the membrane roof of the third ventricle.
cavum veli interpositi (velum interpositum)
•arachnoid cyst
•pineal region cyst
•epidermoid cyst
• cavum veli interpositi
43 year old man with headaches


Keywords by value: 
- interpositi: 0.38009102659961275
- veli: 0.3700292026783097
- cavum: 0.3305532140961582
- cyst: 0.22256846480179998
- requred: 0.20567295321744322
- interpositum: 0.18501460133915484
- velum: 0.18090404696571594
- space: 0.17121483394685685
- quadrigeminal: 0.16180118284550596
- monro: 0.1561351407139886
- surrounds: 0.14964916713044224
- lies: 0.14461825516979068
- forward: 0.14114283096721758
- roof: 0.13870308751926583
- membrane: 0.13498126053545448
- toward: 0.13178766037839054
- the: 0.12831025645244087
- cistern: 0.12488026087871493
- 43: 0.12035601361274201
- plate: 0.11792941247356868
- foramen: 0.11432290865716607
- veins: 0.1141277071774286
- extends: 0.10591199793484456
- csf: 0.10162215331181983
- third: 0.09792460287829309
- headaches: 0.09593132213979422
- ventricle: 0.09466674977380206
- above: 0.09278030108900437
- cerebral: 0.0891011337774683
- internal: 0.08667453263829498
- region: 0.07692777813646592
- fluid: 0.07425570161903143
- none: 0.07028371947083203
- man: 0.06808692465689821
- that: 0.05581125609418613
- from: 0.05107783471761801
- of: 0.050336219486420065
- this: 0.04419218882085636
- year: 0.0396346005938064
- old: 0.03806293642752956
- with: 0.025183147682784374
